Year,Plot,Leaves,Wood,Thin litter,Thick litter,Soil Hz A,Soil Hz B,Roots
1953,5,2.18534985938635,30.1198930293885,0.436327289718902,0.164165016903908,10,10,
1999,5,4.07293169441134,53.2972694120627,0.952884730932447,0.393936962382311,,,
2000,5,4.11657987345571,54.0084757659182,1.53846861273701,0.34417896785305,,,
2001,5,4.12083666058481,54.5781697766253,0.786421963480021,0.18666331594636,,,
2002,5,4.11744460320311,54.7535843580612,1.07858449123063,0.207224368897421,,,
2003,5,4.14897975930061,55.4722121604752,1.12579047760644,0.441132524908083,,,
2004,5,4.2304061100695,56.8442492546579,1.21404440817137,0.281645771460249,,,
2005,5,4.27282978047275,57.7808089767679,0.722549286959456,0.236827850168482,4.7145975,4.7870775,
2006,5,4.30312414392757,58.3102573505954,1.02934567048656,0.135722660492414,,,
2007,5,4.27926097623347,58.0686132419786,0.392702773147947,0.165285077148033,,,
2008,5,4.2972832398937,58.5539754382765,0.599647863511302,0.329716010294904,,,
2009,5,4.36801573874163,59.7178134492349,,,,,
2010,5,4.425177926748,60.8231461057289,0.458280819086233,0.099828080135868,,,
2011,5,4.45191047102961,61.3205824603265,1.96622856435564,0.951658774628561,,,
2012,5,4.4393733545378,61.2898080331287,0.20822730702032,0.325591069673906,,,
2013,5,4.48328542236642,62.1786398340345,0.628858439734143,0.500845474929153,,,
2014,5,4.49124039600356,62.5247095219847,1.29379488200131,0.695495992485046,,,
2015,5,4.41969827973713,61.9849080761508,1.24621535876634,0.335481482302751,,,
2016,5,4.42038726992478,62.1289164678869,0.386068418305941,0.162985458683365,,,
2017,5,4.44662653744558,62.6473099075875,0.391840064001825,0.081425266044888,,,
2018,5,4.50385333975172,63.6958117242207,1.02731496251409,0.28853025423885,21.7510274766008,17.574035368954,
2019,5,4.53055730612844,64.238705273363,0.8017220899351,0.468136616021759,,,
2020,5,4.52468266146435,64.1985690995078,0.787747853034985,0.493786206589213,,,
2021,5,4.60587201398589,65.799835241137,0.46919889488683,0.16015200021797,,,
2022,5,4.63259820958296,66.4393545542258,0.965117395163567,0.26534059207711,,,
2023,5,4.56453720031723,65.3389259854886,,,,,
1953,7,2.46392109055223,37.6458423661428,0.442206691794149,0.173406978416609,10,10,
1999,7,4.64096730507525,66.709734207781,0.733708612027035,0.223444891996421,,,
2000,7,4.6888838129235,67.7177177338717,1.72172565408115,0.35687204048571,,,
2001,7,4.73258505796079,68.6326919972301,0.554989299283161,0.151249191590469,,,
2002,7,4.73629273277439,68.9334903703607,0.923272543262648,0.178093130703927,,,
2003,7,4.77859867443643,69.9214918849358,1.25969812562581,0.464317606785792,,,
2004,7,4.85808358955708,71.6526221239817,1.09034771270049,0.242153930791115,,,
2005,7,4.8994856309168,72.830614155531,0.798359549404066,0.222426489533496,3.9512925,4.2480075,
2006,7,4.8955648840853,73.3271741552486,0.981833483118044,0.149093299279842,,,
2007,7,4.85103499667955,72.9009815476157,0.97115897628892,0.153499532516608,,,
2008,7,4.89037473827325,73.6264928402482,0.425997878313371,0.265400609591985,,,
2009,7,4.96441984670027,75.2324608646042,,,,,
2010,7,5.00710796943687,76.454273238299,0.29556901379448,0.116294990927511,,,
2011,7,5.02541224711614,77.1610177503823,1.86954489210951,0.964402493620265,,,
2012,7,5.01048157167092,77.1799977607845,0.200306482729784,0.247971613524308,,,
2013,7,5.04095763509088,77.9291861986804,1.20984832049352,0.785531872863998,,,
2014,7,5.05895109717291,78.632750130071,1.58964812403208,1.28242056379668,,,
2015,7,5.04197959554116,78.4776884186156,0.975125413222239,0.322735025670018,,,
2016,7,5.07366386190291,79.2581388826395,0.402744364526458,0.109647354357377,,,
2017,7,5.0077386228661,78.425166346066,0.368759556634811,0.133706387874285,,,
2018,7,4.97580275760875,78.5522509756621,0.74826449995817,0.21183866285242,15.0867946845438,14.5899906744408,
2019,7,5.00083040189506,79.0776622168627,0.651854805630195,0.304573093905655,,,
2020,7,5.02352569250254,79.7261222686849,0.662912063700204,0.226044913917119,,,
2021,7,5.02322577146854,80.1057092845743,1.07950025901437,0.408729805684495,,,
2022,7,4.9843037312649,79.737514109215,0.826338192580359,0.456273504894502,,,
2023,7,4.98578230269143,80.0891688451944,,,,,
1953,9,1.99688799087314,28.5588808843154,0.451984269556693,0.176712512132879,10,10,
1999,9,3.80216329952542,52.3559219821766,0.760913719670823,0.336709314304422,,,
2000,9,3.86865644555594,53.4140803545817,1.27767042278114,0.313002711810619,,,
2001,9,3.90418616634005,54.1760873031282,1.09222744657239,0.211191210748974,,,
2002,9,3.78338080269207,52.6114690352843,1.31342364147136,0.248297197261015,,,
2003,9,3.79968854006118,53.0415586316351,1.00424994745921,0.4766328849564,,,
2004,9,3.84816031942378,53.8726799158166,1.27231190540875,0.234955303704395,,,
2005,9,3.8738606363605,54.4975273198109,0.76033534001793,0.344281629391652,3.9875325,4.2548025,
2006,9,3.86998985230189,54.6379704661122,1.20402057845175,0.172725985465853,,,
2007,9,3.83066195567135,54.1746541334107,0.637667820105873,0.353114628172904,,,
2008,9,3.8765530529922,54.9184312753475,0.467266967663898,0.23992822863424,,,
2009,9,3.92470082446543,55.9472604141911,,,,,
2010,9,3.96020808959113,56.5152446485929,0.58050604867549,0.066730000090821,,,
2011,9,3.92132843578597,56.2423459796851,1.94464210316832,0.955265616684752,,,
2012,9,3.88985154764099,55.9439672723559,0.501882564610376,0.2600930080463,,,
2013,9,3.96224460093288,57.126281410329,0.872231798981249,0.545581438919186,,,
2014,9,3.98712880525922,57.6689840378429,1.80670362658949,1.12450711158965,,,
2015,9,4.07053607527205,59.0397585727302,0.825934649914043,0.44218377906336,,,
2016,9,4.07568444580505,59.0963793508544,0.432381318453019,0.201832584890083,,,
2017,9,4.09659631937837,59.5491580416624,0.256060580152024,0.070384750865026,,,
2018,9,4.14233940749939,60.3454175562245,1.02765670469345,0.111167780371082,18.7754275504827,28.3842210643886,
2019,9,4.1854614810832,61.0567917700592,0.580080769518951,0.380434330188109,,,
2020,9,4.21397478966135,61.536883867911,0.603896402285125,0.343738207647322,,,
2021,9,4.32705278797978,63.3882637468196,0.569193623111558,0.32917395737109,,,
2022,9,4.32253703637525,63.4662775760056,1.00001841985164,0.36684389793518,,,
2023,9,4.30745382600272,63.3206495532038,,,,,
1953,10,1.15640641077905,16.9452470294482,0.295933735108509,0.103808274414469,10,10,
1999,10,2.14377805230569,30.5241099439699,0.532113533452938,0.26680501944005,,,
2000,10,2.17528974587169,31.0314521564857,0.76466042903993,0.199988783656804,,,
2001,10,2.13621724754131,30.5825854680327,0.61911714329765,0.132145932487546,,,
2002,10,2.13193843908634,30.5699993836862,0.887498060614603,0.133722813720461,,,
2003,10,2.14611849697164,30.7895056925979,0.518151618743768,0.298404241021519,,,
2004,10,2.19270539851714,31.5958619002229,1.04753911280329,0.160016486987017,,,
2005,10,2.21179158915555,31.9430571065351,0.641771763966472,0.116356587850671,3.4529925,5.0860575,
2006,10,2.22299294400349,32.2075823005798,0.642707378110858,0.120134532471198,,,
2007,10,2.19965231397714,31.8978359101415,0.476397711154787,0.093873710896995,,,
2008,10,2.23324264547914,32.4275367324211,0.58264520283288,0.20729417874367,,,
2009,10,2.29689291593865,33.3266108753606,,,,,
2010,10,2.3311509520025,33.8928957770777,0.683210964979615,0.233493403394713,,,
2011,10,2.3563729163816,34.1918334245718,1.43026696333462,0.553602346907311,,,
2012,10,2.33964175716467,34.2096825441639,0.063791873480823,0.114010305050275,,,
2013,10,2.33309966875844,34.3359073353786,0.3029810219513,0.184966760691304,,,
2014,10,2.35503476353326,34.8642539792335,0.884397448425622,0.407512608365284,,,
2015,10,2.40635093180063,35.7598000344779,0.638258958133462,0.260349661892803,,,
2016,10,2.38212794437723,35.3765249500932,0.255556320580699,0.140276726344766,,,
2017,10,2.4012559245828,35.7070365011612,0.083889351335543,0.041533925331254,,,
2018,10,2.40420596419886,35.8242761355616,0.624168042080142,0.166106369456844,9.86464799677108,22.3640220664583,
2019,10,2.444130843985,36.5059157193058,0.318650073472087,0.218538417080652,,,
2020,10,2.46311798805475,36.8477631420455,0.335042651869583,0.200171334538172,,,
2021,10,2.50413299314113,37.5563627195982,0.605597518911281,0.277117713197676,,,
2022,10,2.51148049885901,37.6559246530786,0.674538672419475,0.248758763538566,,,
2023,10,2.49759760326461,37.638037086628,,,,,
2024,5,,,,,51.2959522247315,,
2024,5,,,,,18.6520763397217,20.7317835569382,
2024,5,,,,,21.3147296905517,16.3092795133591,
2024,5,,,,,15.8542430877685,14.3892948627472,
2024,5,,,,,18.3088102340699,22.2702092885971,
2024,5,,,,,27.861395072937,,
2024,7,,,,,40.8457088470459,,
2024,7,,,,,15.4200960159301,11.4771570086479,
2024,7,,,,,19.661543083191,15.9865274429322,
2024,7,,,,,21.7766670227051,16.4890734195709,
2024,7,,,,,7.86605730056762,9.96296447515487,
2024,7,,,,,22.0526762008667,,
2024,9,,,,,55.8898509979248,,
2024,9,,,,,64.7781509399414,,
2024,9,,,,,48.8976127624512,,
2024,9,,,,,14.8651525497437,,
2024,9,,,,,13.2224930763245,,
2024,9,,,,,32.7189331054688,,
2024,10,,,,,74.4585891723633,,
2024,10,,,,,39.6470970153809,21.0021986246109,
2024,10,,,,,13.704040145874,10.2426077842712,
2024,10,,,,,26.4140321731567,15.9441579580307,
2024,10,,,,,49.2465866088867,,
